kepid,mass,mass_errp,mass_errm,radius,radius_errp,radius_errm,density,density_errp,density_errm,logg,logg_errp,logg_errm,age,age_errp,age_errm,ref
10394814,1.14,0.16,0.17,3.19,0.21,0.22,0.0354,0.0022,0.002,3.488,0.01,0.011000000000000001,6.1,4.3,1.6,Chaplin et al. (2014)
10398597,1.27,0.2,0.11,1.93,0.09,0.09,0.1806,0.0101,0.0095,3.98,0.024,0.021,4.5,0.8,1.7,Chaplin et al. (2014)
10417911,1.06,0.13,0.14,1.83,0.11,0.11,0.1737,0.0133,0.0132,3.9389999999999996,0.021,0.022000000000000002,7.8,2.7,1.6,Chaplin et al. (2014)
10491771,1.38,0.12,0.11,1.54,0.05,0.05,0.3819,0.02,0.0186,4.206,0.018000000000000002,0.018000000000000002,1.7,0.8,0.7,Chaplin et al. (2014)
10518551,1.35,0.15,0.13,2.15,0.09,0.08,0.1355,0.0052,0.0051,3.9019999999999997,0.013000000000000001,0.016,4.1,1.0,1.0,Chaplin et al. (2014)
10610027,1.36,0.1,0.13,1.48,0.06,0.06,0.4179,0.0299,0.0282,4.228,0.023,0.023,1.6,1.1,0.7,Chaplin et al. (2014)
10655953,1.2,0.11,0.15,1.25,0.05,0.05,0.6152,0.0426,0.0421,4.323,0.023,0.027999999999999997,1.7,2.3,1.4,Chaplin et al. (2014)
10670371,1.42,0.17,0.18,2.98,0.15,0.16,0.0539,0.0028,0.0027,3.642,0.017,0.018000000000000002,3.7,1.4,1.1,Chaplin et al. (2014)
10712891,1.38,0.17,0.16,2.97,0.15,0.14,0.0528,0.0019,0.0018,3.633,0.013999999999999999,0.016,4.0,1.4,1.2,Chaplin et al. (2014)
10717090,1.15,0.1,0.21,1.5,0.07,0.09,0.3271,0.0198,0.0194,4.127,0.023,0.026000000000000002,6.3,4.6,1.7,Chaplin et al. (2014)
10727922,1.25,0.15,0.16,1.96,0.11,0.11,0.1665,0.013,0.0123,3.951,0.021,0.023,4.8,1.2,1.1,Chaplin et al. (2014)
10731424,1.55,0.2,0.19,2.63,0.17,0.14,0.0847,0.0074,0.0073,3.786,0.024,0.026000000000000002,2.8,1.0,0.8,Chaplin et al. (2014)
10732098,1.06,0.1,0.12,1.74,0.07,0.08,0.2025,0.0076,0.0076,3.9819999999999998,0.013999999999999999,0.015,7.8,2.6,1.7,Chaplin et al. (2014)
10794845,1.12,0.11,0.16,1.14,0.05,0.05,0.7433,0.0475,0.045,4.367,0.022000000000000002,0.026000000000000002,2.3,3.7,2.0,Chaplin et al. (2014)
10858780,0.95,0.15,0.14,1.45,0.1,0.09,0.309,0.0248,0.0246,4.09,0.024,0.025,11.3,5.2,4.5,Chaplin et al. (2014)
10873176,1.27,0.12,0.12,2.13,0.07,0.08,0.1312,0.005,0.0052,3.884,0.015,0.015,4.6,0.8,0.9,Chaplin et al. (2014)
10909629,1.35,0.12,0.14,2.17,0.08,0.09,0.1323,0.0057,0.0054,3.895,0.015,0.018000000000000002,4.0,1.0,0.7,Chaplin et al. (2014)
